nums,chans,neuts,suss,thOKs,thneus,thnos,numlegends,m_nums,m_chans,m_neuts,m_suss,m_thOKs,m_thneus,m_thnos,m_numlegends,m_toslegends,indegrees,cl2
44,1,6,0,26,11,0,0,22,0.5,3,0,13,5.5,0,0,0,2,10
4,1,1,0,0,2,0,0,4,1,1,0,0,2,0,0,0,1,10
7,1,1,0,2,3,0,1,1.16666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0.5,0,0.166666666666667,0,6,10
20,0,8,0,3,9,0,1,2.22222222222222,0,0.888888888888889,0,0.333333333333333,1,0,0.111111111111111,0,9,10
458,50,120,4,90,188,6,19,5.51807228915663,0.602409638554217,1.44578313253012,0.0481927710843373,1.08433734939759,2.26506024096386,0.072289156626506,0.228915662650602,1,83,10
15,1,3,1,1,8,1,0,1.66666666666667,0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111,0.888888888888889,0.111111111111111,0,0,9,10
112,6,23,2,25,45,11,2,3.29411764705882,0.176470588235294,0.676470588235294,0.0588235294117647,0.735294117647059,1.32352941176471,0.323529411764706,0.0588235294117647,0,34,10
43,8,10,0,6,18,1,0,2.52941176470588,0.470588235294118,0.588235294117647,0,0.352941176470588,1.05882352941176,0.0588235294117647,0,0,17,10
261,16,104,0,51,81,9,130,29,1.77777777777778,11.5555555555556,0,5.66666666666667,9,1,14.4444444444444,0,9,10
2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,10
3,0,0,0,1,2,0,2,1.5,0,0,0,0.5,1,0,1,0,2,10
26,2,6,1,2,14,1,2,1.73333333333333,0.133333333333333,0.4,0.0666666666666666,0.133333333333333,0.933333333333333,0.0666666666666666,0.133333333333333,0,15,10
13,1,0,0,2,9,1,0,1.18181818181818,0.0909090909090909,0,0,0.181818181818182,0.818181818181818,0.0909090909090909,0,1,11,10
18,0,6,1,2,5,4,0,1.8,0,0.6,0.1,0.2,0.5,0.4,0,0,10,10
14,0,3,1,0,7,3,0,2,0,0.428571428571429,0.142857142857143,0,1,0.428571428571429,0,0,7,10
3,0,2,0,0,0,1,0,1.5,0,1,0,0,0,0.5,0,0,2,10
229,5,65,0,17,128,14,182,10.4090909090909,0.227272727272727,2.95454545454545,0,0.772727272727273,5.81818181818182,0.636363636363636,8.27272727272727,0,22,10
42,2,15,0,0,19,6,4,4.2,0.2,1.5,0,0,1.9,0.6,0.4,0,10,10
16,2,7,0,1,6,0,3,2,0.25,0.875,0,0.125,0.75,0,0.375,0,8,10
361,19,159,5,48,108,22,2,5.640625,0.296875,2.484375,0.078125,0.75,1.6875,0.34375,0.03125,0,64,10
7,1,1,1,0,3,1,0,2.33333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,1,0.333333333333333,0,0,3,10
90,0,36,0,18,31,5,0,6.42857142857143,0,2.57142857142857,0,1.28571428571429,2.21428571428571,0.357142857142857,0,0,14,10
52,4,18,1,5,23,1,12,5.77777777777778,0.444444444444444,2,0.111111111111111,0.555555555555556,2.55555555555556,0.111111111111111,1.33333333333333,0,9,10
20,0,8,0,0,12,0,1,1.66666666666667,0,0.666666666666667,0,0,1,0,0.0833333333333333,0,12,10
6,0,4,0,0,2,0,0,2,0,1.33333333333333,0,0,0.666666666666667,0,0,1,3,10
