nums,chans,neuts,suss,thOKs,thneus,thnos,numlegends,m_nums,m_chans,m_neuts,m_suss,m_thOKs,m_thneus,m_thnos,m_numlegends,m_toslegends,indegrees,c_ages,c_males,c_years,c_debts,c_s0s,c_s1s,c_s2s,c_s3s,c_s4s,c_s5s,c_s6s,c_s7s,c_s8s,c_s9s,c_s10s,c_snums
112,4,19,0,52,37,0,0,56,2,9.5,0,26,18.5,0,0,0,2,,,,,0,0,0,1,0,0,0,0,0,0,0,1
9,1,2,0,2,4,0,0,9,1,2,0,2,4,0,0,0,1,,,,,0,0,0,1,0,0,0,0,0,0,0,1
7,1,1,0,2,3,0,1,1.16666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0.5,0,0.166666666666667,0,6,45,,,,0,0,0,0,1,0,0,0,0,0,0,1
20,0,8,0,3,9,0,1,2.22222222222222,0,0.888888888888889,0,0.333333333333333,1,0,0.111111111111111,0,9,25,0,400,20,0,1,0,0,0,0,0,0,0,0,0,1
459,50,121,4,90,188,6,19,5.53012048192771,0.602409638554217,1.4578313253012,0.0481927710843373,1.08433734939759,2.26506024096386,0.072289156626506,0.228915662650602,1,83,45,1,,15,0,0,0,1,1,0,0,1,0,0,0,3
19,1,3,1,1,11,2,2,1.58333333333333,0.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0.916666666666667,0.166666666666667,0.166666666666667,0,12,45,1,,,0,0,0,1,0,1,0,1,0,0,0,3
222,13,53,7,35,95,19,2,3.58064516129032,0.209677419354839,0.854838709677419,0.112903225806452,0.564516129032258,1.53225806451613,0.306451612903226,0.032258064516129,0,62,,,,,0,1,0,1,1,0,0,1,0,1,0,5
43,8,10,0,6,18,1,0,2.52941176470588,0.470588235294118,0.588235294117647,0,0.352941176470588,1.05882352941176,0.0588235294117647,0,0,17,25,1,,,0,0,0,1,1,1,0,0,0,0,0,3
688,31,278,2,106,241,30,130,76.4444444444444,3.44444444444444,30.8888888888889,0.222222222222222,11.7777777777778,26.7777777777778,3.33333333333333,14.4444444444444,0,9,,,,,0,0,0,1,1,0,0,0,0,0,0,2
2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,45,1,1000,15,0,1,0,1,1,0,0,1,1,0,0,5
8,0,0,0,1,6,1,2,2,0,0,0,0.25,1.5,0.25,0.5,0,4,45,1,,,0,0,0,0,0,0,1,0,0,0,0,1
26,2,6,1,2,14,1,2,1.73333333333333,0.133333333333333,0.4,0.0666666666666666,0.133333333333333,0.933333333333333,0.0666666666666666,0.133333333333333,0,15,25,,100,8,0,0,0,1,0,0,0,0,0,0,0,1
